formula,material_id,particle,energy_MeV,niel_MeV_cm2_g,source_file
Ag2Te,JVASP-108812,proton,500.0,0.0025267,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,550.0,0.0026114,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,600.0,0.0026854,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,650.0,0.0027511,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,700.0,0.0028119,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,750.0,0.0028702,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,800.0,0.0029264,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,850.0,0.0029777,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,900.0,0.0030176,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,950.0,0.0030354,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,1000.0,0.0030171,Ag2Te_JVASP-108812_p_srniel.csv
Ag3PO4,JVASP-9585,electron,0.04,0.0,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.045,0.0,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.05,5.1364e-07,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.055,1.7505e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.06,2.701e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.065,3.4447e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.07,4.0354e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.075,4.5106e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.08,4.8973e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.085,5.215e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.09,5.4784e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.095,5.6986e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.1,5.8839e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.15,7.5224e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.2,8.2828e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.25,8.7154e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.3,9.0354e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.35,9.3107e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.4,9.5659e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.45,9.8109e-06,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.5,1.0216e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.55,1.1302e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.6,1.2491e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.65,1.3733e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.7,1.4997e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.75,1.6263e-05,Ag3PO4_JVASP-9585_e_srniel.csv
