formula,material_id,element,recommended_ed_eV,aggregation_mode,weighted_mean_ed_eV,minimum_ed_eV,maximum_ed_eV,inequivalent_site_count,structure_source,ed_mode,status,error
Rb2As3,JVASP-11390,Rb,3.146,min,3.146,3.146,3.146,1,jarvis_relaxed_input+idealized,static,ok,
Rb2As3,JVASP-11390,As,5.88,min,5.88,5.88,5.88,1,jarvis_relaxed_input+idealized,static,ok,
Rb4CuSi2O7,JVASP-25574,Rb,5.5,min,5.5,5.5,5.5,1,material_level_fallback_no_qe_result,static,ok,
Rb4CuSi2O7,JVASP-25574,Cu,19.0,min,19.0,19.0,19.0,1,material_level_fallback_no_qe_result,static,ok,
Rb4CuSi2O7,JVASP-25574,Si,20.5,min,20.5,20.5,20.5,1,material_level_fallback_no_qe_result,static,ok,
Rb4CuSi2O7,JVASP-25574,O,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
SCl2,JVASP-58833,S,6.36,min,6.36,6.36,6.36,1,jarvis_relaxed_input+idealized,static,ok,
SCl2,JVASP-58833,Cl,4.261,min,4.261,4.261,4.261,1,jarvis_relaxed_input+idealized,static,ok,
SbIrS,JVASP-10264,Sb,47.815,min,47.815,47.815,47.815,1,jarvis_relaxed_input+idealized,static,ok,
SbIrS,JVASP-10264,Ir,122.53,min,122.53,122.53,122.53,1,jarvis_relaxed_input+idealized,static,ok,
SbIrS,JVASP-10264,S,24.467,min,24.467,24.467,24.467,1,jarvis_relaxed_input+idealized,static,ok,
ScMo3O8,JVASP-12703,Sc,7.235,min,7.235,7.235,7.235,1,jarvis_relaxed_input+idealized,static,ok,
ScMo3O8,JVASP-12703,Mo,7.526,min,7.526,7.526,7.526,1,jarvis_relaxed_input+idealized,static,ok,
ScMo3O8,JVASP-12703,O,8.658,min,8.658,8.658,8.658,1,jarvis_relaxed_input+idealized,static,ok,
ScS,JVASP-19725,Sc,46.408,min,46.408,46.408,46.408,1,jarvis_relaxed_input+idealized,static,ok,
ScS,JVASP-19725,S,48.251,min,48.251,48.251,48.251,1,jarvis_relaxed_input+idealized,static,ok,
ScVO4,JVASP-11823,Sc,25.0,min,25.0,25.0,25.0,1,material_level_fallback_no_qe_result,static,ok,
ScVO4,JVASP-11823,V,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
ScVO4,JVASP-11823,O,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
Si,JVASP-25415,Si,4.733,min,4.733,4.733,4.733,1,jarvis_relaxed_input+idealized,static,ok,
SrTaNO2,JVASP-109687,Sr,7.0,min,7.0,7.0,7.0,1,jarvis_relaxed_input+idealized,static,ok,
SrTaNO2,JVASP-109687,Ta,0.56,min,0.56,0.56,0.56,1,jarvis_relaxed_input+idealized,static,ok,
SrTaNO2,JVASP-109687,N,22.0,min,22.0,22.0,22.0,1,jarvis_relaxed_input+idealized,static,ok,
SrTaNO2,JVASP-109687,O,28.0,min,28.0,28.0,28.0,1,jarvis_relaxed_input+idealized,static,ok,
SrZrS3,JVASP-21271,Sr,19.813,min,19.813,19.813,19.813,1,jarvis_relaxed_input+idealized,static,ok,
SrZrS3,JVASP-21271,Zr,20.172,min,20.172,20.172,20.172,1,jarvis_relaxed_input+idealized,static,ok,
SrZrS3,JVASP-21271,S,21.908,min,21.908,21.908,21.908,1,jarvis_relaxed_input+idealized,static,ok,
Ta2Te4Br10O,JVASP-31871,Ta,11.673,min,11.673,11.673,11.673,1,jarvis_relaxed_input+idealized,static,ok,
Ta2Te4Br10O,JVASP-31871,Te,9.079,min,9.079,9.079,9.079,1,jarvis_relaxed_input+idealized,static,ok,
Ta2Te4Br10O,JVASP-31871,Br,7.234,min,7.234,7.234,7.234,1,jarvis_relaxed_input+idealized,static,ok,
Ta2Te4Br10O,JVASP-31871,O,7.082,min,7.082,7.082,7.082,1,jarvis_relaxed_input+idealized,static,ok,
Te2Mo3WS6,JVASP-28699,Te,5.5,min,5.5,5.5,5.5,1,material_level_fallback_no_qe_result,static,ok,
Te2Mo3WS6,JVASP-28699,Mo,33.0,min,33.0,33.0,33.0,1,material_level_fallback_no_qe_result,static,ok,
Te2Mo3WS6,JVASP-28699,W,55.0,min,55.0,55.0,55.0,1,material_level_fallback_no_qe_result,static,ok,
Te2Mo3WS6,JVASP-28699,S,7.6,min,7.6,7.6,7.6,1,material_level_fallback_no_qe_result,static,ok,
TeMoWSe3,JVASP-28952,Te,5.5,min,5.5,5.5,5.5,1,material_level_fallback_no_qe_result,static,ok,
TeMoWSe3,JVASP-28952,Mo,33.0,min,33.0,33.0,33.0,1,material_level_fallback_no_qe_result,static,ok,
TeMoWSe3,JVASP-28952,W,55.0,min,55.0,55.0,55.0,1,material_level_fallback_no_qe_result,static,ok,
TeMoWSe3,JVASP-28952,Se,7.4,min,7.4,7.4,7.4,1,material_level_fallback_no_qe_result,static,ok,
VRhO4,JVASP-42957,V,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
VRhO4,JVASP-42957,Rh,25.0,min,25.0,25.0,25.0,1,material_level_fallback_no_qe_result,static,ok,
VRhO4,JVASP-42957,O,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
ZnBi2O5,JVASP-9800,Zn,10.0,min,10.0,10.0,10.0,1,jarvis_relaxed_input+idealized,static,ok,
ZnBi2O5,JVASP-9800,Bi,8.0,min,8.0,8.0,8.0,1,jarvis_relaxed_input+idealized,static,ok,
ZnBi2O5,JVASP-9800,O,28.0,min,28.0,28.0,28.0,1,jarvis_relaxed_input+idealized,static,ok,
ZnGeN2,JVASP-9374,Zn,0.591,min,0.591,0.591,0.591,1,jarvis_relaxed_input+idealized,static,ok,
ZnGeN2,JVASP-9374,Ge,14.5,min,14.5,14.5,14.5,1,jarvis_relaxed_input+idealized,static,ok,
ZnGeN2,JVASP-9374,N,22.0,min,22.0,22.0,22.0,1,jarvis_relaxed_input+idealized,static,ok,
ZnO,JVASP-17188,Zn,10.0,min,10.0,10.0,10.0,1,material_level_fallback_no_qe_result,static,ok,
ZnO,JVASP-17188,O,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
ZnS,JVASP-10591,Zn,4.311,min,4.311,4.311,4.311,1,jarvis_relaxed_input+idealized,static,ok,
ZnS,JVASP-10591,S,24.075,min,24.075,24.075,24.075,1,jarvis_relaxed_input+idealized,static,ok,
