srniel_damage_rank,formula,material_id,has_fallback_ed,density_g_cm3,density_source,cell_json,mission_json,electron_niel,proton_niel,cell_template,degradation_coefficients,sadc_status
41,CrO3,JVASP-44469,False,2.788,JARVIS-DFT density field,sadc_input_bundles/41_CrO3_JVASP-44469/Cell.json,sadc_input_bundles/41_CrO3_JVASP-44469/Mission.json,sadc_input_bundles/41_CrO3_JVASP-44469/niel/electron_NIEL.dat,sadc_input_bundles/41_CrO3_JVASP-44469/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
42,SCl2,JVASP-58833,False,2.228,JARVIS-DFT density field,sadc_input_bundles/42_SCl2_JVASP-58833/Cell.json,sadc_input_bundles/42_SCl2_JVASP-58833/Mission.json,sadc_input_bundles/42_SCl2_JVASP-58833/niel/electron_NIEL.dat,sadc_input_bundles/42_SCl2_JVASP-58833/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
43,Na3VS3O,JVASP-12252,False,2.286,JARVIS-DFT density field,sadc_input_bundles/43_Na3VS3O_JVASP-12252/Cell.json,sadc_input_bundles/43_Na3VS3O_JVASP-12252/Mission.json,sadc_input_bundles/43_Na3VS3O_JVASP-12252/niel/electron_NIEL.dat,sadc_input_bundles/43_Na3VS3O_JVASP-12252/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
44,AsCl5,JVASP-5770,False,2.523,JARVIS-DFT density field,sadc_input_bundles/44_AsCl5_JVASP-5770/Cell.json,sadc_input_bundles/44_AsCl5_JVASP-5770/Mission.json,sadc_input_bundles/44_AsCl5_JVASP-5770/niel/electron_NIEL.dat,sadc_input_bundles/44_AsCl5_JVASP-5770/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
45,Si,JVASP-25415,False,2.133,JARVIS-DFT density field,sadc_input_bundles/45_Si_JVASP-25415/Cell.json,sadc_input_bundles/45_Si_JVASP-25415/Mission.json,sadc_input_bundles/45_Si_JVASP-25415/niel/electron_NIEL.dat,sadc_input_bundles/45_Si_JVASP-25415/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
46,KNO3,JVASP-53146,False,1.96,JARVIS-DFT density field,sadc_input_bundles/46_KNO3_JVASP-53146/Cell.json,sadc_input_bundles/46_KNO3_JVASP-53146/Mission.json,sadc_input_bundles/46_KNO3_JVASP-53146/niel/electron_NIEL.dat,sadc_input_bundles/46_KNO3_JVASP-53146/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
47,NaS,JVASP-9152,False,2.045,JARVIS-DFT density field,sadc_input_bundles/47_NaS_JVASP-9152/Cell.json,sadc_input_bundles/47_NaS_JVASP-9152/Mission.json,sadc_input_bundles/47_NaS_JVASP-9152/niel/electron_NIEL.dat,sadc_input_bundles/47_NaS_JVASP-9152/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
48,Bi4Te7Pb,JVASP-12475,True,7.536,JARVIS-DFT density field,sadc_input_bundles/48_Bi4Te7Pb_JVASP-12475/Cell.json,sadc_input_bundles/48_Bi4Te7Pb_JVASP-12475/Mission.json,sadc_input_bundles/48_Bi4Te7Pb_JVASP-12475/niel/electron_NIEL.dat,sadc_input_bundles/48_Bi4Te7Pb_JVASP-12475/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
49,TeMoWSe3,JVASP-28952,True,6.006,JARVIS-DFT density field,sadc_input_bundles/49_TeMoWSe3_JVASP-28952/Cell.json,sadc_input_bundles/49_TeMoWSe3_JVASP-28952/Mission.json,sadc_input_bundles/49_TeMoWSe3_JVASP-28952/niel/electron_NIEL.dat,sadc_input_bundles/49_TeMoWSe3_JVASP-28952/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
50,MoWSe2S2,JVASP-28698,True,5.282,JARVIS-DFT density field,sadc_input_bundles/50_MoWSe2S2_JVASP-28698/Cell.json,sadc_input_bundles/50_MoWSe2S2_JVASP-28698/Mission.json,sadc_input_bundles/50_MoWSe2S2_JVASP-28698/niel/electron_NIEL.dat,sadc_input_bundles/50_MoWSe2S2_JVASP-28698/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
51,HoSO,JVASP-46072,True,7.2,JARVIS-DFT density field,sadc_input_bundles/51_HoSO_JVASP-46072/Cell.json,sadc_input_bundles/51_HoSO_JVASP-46072/Mission.json,sadc_input_bundles/51_HoSO_JVASP-46072/niel/electron_NIEL.dat,sadc_input_bundles/51_HoSO_JVASP-46072/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
52,Te2Mo3WS6,JVASP-28699,True,4.659,JARVIS-DFT density field,sadc_input_bundles/52_Te2Mo3WS6_JVASP-28699/Cell.json,sadc_input_bundles/52_Te2Mo3WS6_JVASP-28699/Mission.json,sadc_input_bundles/52_Te2Mo3WS6_JVASP-28699/niel/electron_NIEL.dat,sadc_input_bundles/52_Te2Mo3WS6_JVASP-28699/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
53,Ca3PbO,JVASP-17656,True,5.06,JARVIS-DFT density field,sadc_input_bundles/53_Ca3PbO_JVASP-17656/Cell.json,sadc_input_bundles/53_Ca3PbO_JVASP-17656/Mission.json,sadc_input_bundles/53_Ca3PbO_JVASP-17656/niel/electron_NIEL.dat,sadc_input_bundles/53_Ca3PbO_JVASP-17656/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
54,VRhO4,JVASP-42957,True,5.824,JARVIS-DFT density field,sadc_input_bundles/54_VRhO4_JVASP-42957/Cell.json,sadc_input_bundles/54_VRhO4_JVASP-42957/Mission.json,sadc_input_bundles/54_VRhO4_JVASP-42957/niel/electron_NIEL.dat,sadc_input_bundles/54_VRhO4_JVASP-42957/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
